province,city,num
上海,上海,88
北京,北京,76
天津,天津,22
成都,成都,25
苏州,苏州,26
重庆,重庆,28
浙江,杭州,26
浙江,宁波,12
浙江,金华,7
浙江,温州,7
浙江,台州,6
浙江,绍兴,5
浙江,嘉兴,4
浙江,衢州,2
浙江,湖州,1
浙江,丽水,1
江苏,南京,17
江苏,无锡,9
江苏,徐州,8
江苏,南通,7
江苏,常州,5
江苏,淮安,5
江苏,扬州,4
江苏,连云港,3
江苏,宿迁,2
江苏,泰州,2
江苏,镇江,2
江苏,盐城,1
山东,青岛,13
山东,济南,10
山东,烟台,8
山东,临沂,6
山东,菏泽,4
山东,济宁,3
山东,日照,2
山东,泰安,2
山东,威海,2
山东,潍坊,2
山东,枣庄,2
山东,淄博,2
山东,德州,1
山东,东营,1
山东,聊城,1
河南,郑州,14
河南,洛阳,4
河南,周口,4
河南,濮阳,4
河南,平顶山,3
河南,新乡,3
河南,安阳,2
河南,开封,2
河南,南阳,2
河南,焦作,1
河南,商丘,1
河南,信阳,1
河南,许昌,1
河南,漯河,1
湖北,武汉,22
湖北,荆州,4
湖北,襄阳,4
湖北,黄冈,2
湖北,宜昌,2
湖北,十堰,1
湖北,随州,1
湖北,咸宁,1
福建,福州,9
福建,厦门,9
福建,泉州,5
福建,漳州,3
福建,龙岩,2
福建,宁德,2
福建,莆田,1
福建,三明,1
河北,廊坊,7
河北,石家庄,5
河北,邯郸,4
河北,唐山,4
河北,保定,3
河北,秦皇岛,3
河北,邢台,2
河北,张家口,2
河北,承德,1
河北,衡水,1
湖南,长沙,19
湖南,岳阳,4
湖南,衡阳,2
湖南,益阳,2
湖南,常德,1
湖南,郴州,1
湖南,湘潭,1
湖南,株洲,1
陕西,西安,20
陕西,宝鸡,3
陕西,咸阳,2
陕西,榆林,2
陕西,汉中,1
陕西,延安,1
安徽,合肥,8
安徽,滁州,2
安徽,阜阳,2
安徽,芜湖,2
安徽,安庆,1
安徽,蚌埠,1
安徽,淮北,1
安徽,黄山,1
安徽,马鞍山,1
安徽,宿州,1
安徽,宣城,1
江西,南昌,10
江西,抚州,3
江西,赣州,2
江西,吉安,2
江西,九江,2
江西,上饶,2
山西,太原,8
山西,晋中,2
山西,运城,2
山西,长治,1
山西,大同,1
山西,晋城,1
山西,临汾,1
四川,南充,6
四川,内江,2
四川,宜宾,2
四川,德阳,1
四川,绵阳,1
四川,资阳,1
贵州,贵阳,7
贵州,遵义,2
贵州,安顺,1
贵州,黔东南苗族侗族自治,1
贵州,铜仁,1
辽宁,大连,8
辽宁,鞍山,2
辽宁,营口,1
内蒙古,呼和浩特,3
内蒙古,包头,2
内蒙古,鄂尔多斯,2
内蒙古,乌兰察布,1
广东,河源,2
广东,梅州,2
广东,清远,1
广东,韶关,1
广西,柳州,3
广西,桂林,1
宁夏,银川,2
云南,文山,1
