item_id,适用季节,尺码一,尺码二,适用年龄那段,服装颜色,品牌,服装风格,服装类型,服装材质
2210000000000,"春,夏","4XL,4X,3XL,2XL,XL,L,M,S",170,"青少年,男","青,纯色",,"学生,宽松,印花,韩版","短袖,半袖,上衣,打底衫",纯棉
2028052381,夏,"4XL,4X,3XL,2XL,XL,L,M,S","160,165,170,175,180",男,,潮牌,"潮牌,宽松,舒适","短袖,半袖,打底衫",聚酯纤维
1937806858,夏,"5X,XXL,XL,L,M,S","165,170,175,180","老年,中老年,男","灰,紫",,,"短袖,半袖,上衣",纯棉
2266484946,"春,夏","4XL,4X,3XL,2XL,XL,L,M",170,男,"黑,白,灰,红,黄,绿,蓝",富贵鸟,"修身,POLO,韩版","短袖,上衣",纯棉
2210000000000,夏,"2XL,XL,L,S",,,,潮牌,"学生,潮牌,宽松,圆领,印花,韩版",短袖,"涤纶,聚酯纤维"
2680307492,夏,"4XL,4X,XXXL,XXL,XL,L,M","165,170,175",男,"黑,白,灰,青",,"舒适,透气,百搭",短袖,纯棉
2267533147,夏,,,男,纯色,,,"短袖,打底衫",
465361880,夏,L,"160,165,170,175,180",男,"黑,白,灰,黄,绿,青,纯色",,"POLO,百搭",短袖,
2210000000000,夏,S,,"男,女",,,"宽松,情侣,印花","短袖,半袖",
2854249700,夏,,,男,,,"宽松,韩版,大码","短袖,打底衫",
2923242789,夏,,,男,,,舒适,"短袖,上衣,裤",聚酯纤维
2105001101,夏,"3XL,2XL,XL,L,S","160,165,170,175,180","老年,中年,中老年,男",,,"舒适,透气","短袖,上衣,打底衫",纯棉
2210000000000,夏,"3XL,XL,L,S",,"青少年,男",青,潮牌,"潮牌,宽松,日系,百搭,韩版","短袖,上衣,打底衫",
2200000000000,夏,,,"青少年,男",青,,"学生,透气,韩版,大码","外套,夹克,防晒衣,直筒",涤纶
2169914770,,"L,M",,"男,女",,,情侣,,纯棉
2788149356,,"4XL,4X,3XL,2XL,XL,L,M","160,175","青年,男","白,灰,青,蓝",,"修身,舒适,透气,韩版,专柜","短袖,衬衫",聚酯纤维
1094669510,"春,夏","M,S",160,女,紫,,专柜,,
2210000000000,夏,"5XL,5X,4XL,4X,3XL,2XL,XL,L,M","160,180",男,,,"学生,宽松,透气,百搭,韩版","短袖,半袖","纯棉,棉麻"
1716913408,夏,,,男,"黑,白,灰,红,青,蓝,纯色",,"修身,V领","短袖,半袖",
2937459251,夏,,,"青少年,男",青,,"宽松,舒适,透气,日系,圆领","短袖,半袖,上衣","涤纶,聚酯纤维"
1708518347,,"2XL,XL,L,M","160,180",,"黑,白,灰,红,绿,蓝",,"港风,宽松","短袖,五分袖",纯棉
2174858722,夏,"2XL,XL,L,M,S",,"男,女",,,"港风,宽松,韩版","短袖,半袖,五分袖",
1670569790,夏,S,,男,,,韩版,"短袖,上衣",
2488301457,"秋,冬","5XL,5X,4XL,4X,3XL,2XL,XL,L,M",,"青少年,男",青,,"学生,韩版","长袖,上衣",
1654140969,夏,,,男,,"老虎头,潮牌","潮牌,大码","短袖,半袖",
1978732727,,"4X,XL,L,M,S",170,男,"黑,白",,"学生,港风,圆领,印花,韩版","短袖,半袖,打底衫",
1945656054,夏,"4XL,4X,XL,L",,男,"黑,灰",阿迪,"透气,圆领,百搭","短袖,半袖",
668700588,"春,秋",,,男,"青,纯色",,"修身,圆领","长袖,打底衫",
2261680111,"春,夏","4XL,4X,3XL,2XL,XL,L,M,S","165,180","男,女","黑,白,灰,红,橙,青,蓝",,"宽松,透气,圆领,大码","短袖,打底衫",纯棉
3058697065,夏,"XXXL,XXL,XL,L,M",165,男,"黑,白,灰,绿",,韩版,"短袖,上衣",
1062806905,夏,,,男,,,大码,"短袖,半袖,上衣",纯棉
670624661,夏,"5XL,5X,3XL,2XL,XL,L,M","165,170,175,180",男,,富贵鸟,"修身,专柜",短袖,
2266484946,"春,夏","4XL,4X,3XL,2XL,XL,L,M",170,男,"黑,白,灰,红,黄,绿,蓝",富贵鸟,"修身,POLO,韩版","短袖,上衣",纯棉
2267533147,夏,,,男,纯色,,,"短袖,打底衫",
2923242789,夏,,,男,,,舒适,"短袖,上衣,裤",聚酯纤维
2200000000000,夏,,,"青少年,男",青,,"学生,透气,韩版,大码","外套,夹克,防晒衣,直筒",涤纶
2210000000000,夏,"5XL,5X,4XL,4X,3XL,2XL,XL,L,M","160,180",男,,,"学生,宽松,透气,百搭,韩版","短袖,半袖","纯棉,棉麻"
1708518347,,"2XL,XL,L,M","160,180",,"黑,白,灰,红,绿,蓝",,"港风,宽松","短袖,五分袖",纯棉
1654140969,夏,,,男,,"老虎头,潮牌","潮牌,大码","短袖,半袖",
668700588,"春,秋",,,男,"青,纯色",,"修身,圆领","长袖,打底衫",
808857399,夏,,,男,,,,短袖,涤纶
2210000000000,夏,"XXL,XL,L,M,S",,男,"黑,白,黄",,"宽松,舒适,情侣,百搭,印花,韩版","短袖,半袖,五分袖,上衣",
465361880,夏,"2XL,XL,L,M",160,男,,,"学生,韩版","短袖,五分袖,上衣",
719183904,夏,S,,男,,潮牌,"潮牌,宽松,韩版","短袖,半袖,上衣",纯棉
2200000000000,夏,,,"老年,中老年,男",,,宽松,"短袖,上衣,衬衫",纯棉
1752307795,夏,,,"青年,男","黑,白,灰,青,纯色",,"学生,宽松,圆领,韩版","短袖,半袖,五分袖,中袖",
2210000000000,夏,"4XL,4X,XL,L,M,S",,"男,女",,潮牌,"学生,潮牌,宽松,情侣,圆领","短袖,上衣",纯棉
2117819434,夏,S,,男,,潮牌,"学生,港风,潮牌,宽松,韩版","短袖,五分袖,上衣",
2210000000000,,"5X,4X,XL,L,M,S",170,"男,女","黑,白",,"学生,宽松,修身,情侣,圆领,韩版",短袖,
2210000000000,夏,,,男,青,,宽松,"短袖,半袖,上衣,打底衫",纯棉
2446619980,,"XL,L,M",180,,,,,卫衣,
2626934445,夏,,,男,,,"宽松,圆领","短袖,半袖",纯棉
4234017682,夏,"XL,L",,男,"绿,纯色",,"学生,情侣",短袖,
3005531731,夏,"XXL,XL,L,M,S",,男,,潮牌,"学生,港风,潮牌,宽松,圆领,百搭,韩版","短袖,半袖,五分袖",
3562655067,夏,"2XL,XL,L,M,S",,男,"白,灰",潮牌,"学生,港风,潮牌,情侣,百搭,韩版","短袖,半袖",
1062806905,夏,,,男,,,"学生,宽松,韩版,大码","短袖,半袖,上衣",纯棉
599489252,,"M,S","170,175",男,,,,,
189030971,,,,"男,女",,,,外套,牛仔
736072039,,"M,S",,,,,,,
2816799841,,,,"男,女",黑,,,短袖,
1020442077,,,"165,170",,,李宁,,,
3971476081,,L,,男,,,透气,,
2200000000000,,L,,,,,POLO,短袖,纯棉
2210000000000,,"XL,L",,,,"耐克,JORDAN",,短袖,
2210000000000,,L,180,,,"阿迪达斯,阿迪",,短袖,
134137684,,"L,M",,男,,,"圆领,专柜",短袖,纯棉
2816799841,,S,170,男,,,圆领,短袖,
3617241236,,L,,,,,,,
697370965,夏,L,,男,纯色,,,"短袖,打底衫",
2210000000000,,"XXL,XL,L",,,,"阿迪达斯,阿迪",,短袖,
2221726052,,S,,,蓝,,,衬衫,
2210000000000,,M,170,,蓝,,,裤,
3249481186,,,,,,,,"裤,衬衫",
78692389,,M,,,,,,衬衫,
2240336614,,"L,M,S",,,,,,"长袖,卫衣",
1930455731,,L,,男,黑,,"POLO,圆领",裤,
3617241236,,"XL,L",,"男,女","黑,灰",,情侣,卫衣,
1129165735,,L,,,,,宽松,裤,牛仔
2656380105,夏,"M,S",,"男,女",,"优衣库,优衣库",情侣,短袖,
2200000000000,,S,170,,,,,外套,
420809314,夏,"L,M",,男,,,,"短袖,上衣",
2816799841,,S,,"男,女",,,圆领,短袖,
2423621008,,"5X,XXL,XL,L",,男,,,,裤,牛仔
900801348,,S,170,男,黑,,修身,,
406049716,,,,,黑,,"宽松,舒适,圆领","短袖,直筒",纯棉
3617241236,,"XL,L",,,黑,,,,
135378486,,,180,"老年,中老年,男",青,,,,
826522159,,"XXL,XL,L",,,"黑,白",NIKE,,长袖,
2200000000000,,L,,,,,,卫衣,
1854672594,,,,男,,,,,
3617241236,,"XL,L",,,,,,卫衣,
377554504,,L,,男,,,宽松,夹克,
645084033,夏,,"175,180",,白,潮牌,潮牌,短袖,
3617241236,,L,,,黑,,,,
402235821,,M,,,,,,夹克,
3617241236,,"XL,L,M",,,黑,,大码,,
1582733682,,"L,S",175,,"白,黄","优衣库,优衣库,UNIQLO",,衬衫,纯棉
18465009,,"L,S",,,白,"阿迪达斯,阿迪",,短袖,
4087546629,,"L,M,S",,,"白,黄","优衣库,优衣库,UNIQLO",宽松,短袖,
2240336614,,"XL,L",,,,,,"长袖,卫衣",
2674617046,夏,,,"青少年,男",青,,,"短袖,半袖,打底衫",
2210000000000,,,,,,,,,
